time(ms),Red,IR
4865.165488,3319.1875,7738.3125
4872.986964,3321.5,7744.8125
4880.80844,3322.5625,7748.5625
4888.629916,3323.9375,7759.125
4896.451392,3323.1875,7759.5
4904.272868,3324.8125,7764.8125
4912.094344,3326.9375,7773.9375
4919.91582,3327.375,7778.0
4927.737296,3328.9375,7781.0625
4935.558772,3330.375,7786.625
4943.380248,3329.6875,7793.375
4951.201724,3332.375,7796.625
4959.0232,3333.5,7802.5
4966.844676,3334.25,7805.25
4974.666152,3335.9375,7810.8125
4982.487628,3335.9375,7813.8125
4990.309104,3336.3125,7820.1875
4998.13058,3337.375,7824.8125
5005.952056,3337.75,7826.4375
5013.773532,3339.1875,7830.1875
5021.595008,3341.0,7835.375
5029.416484,3339.9375,7839.875
5037.23796,3342.875,7846.3125
5045.059436,3344.3125,7852.0
5052.880912,3346.1875,7854.4375
5060.702388,3344.8125,7862.25
5068.523864,3347.125,7865.3125
5076.34534,3349.25,7872.75
5084.166816,3349.4375,7879.125
5091.988292,3351.625,7881.75
5099.809768,3350.4375,7886.6875
5107.631244,3352.6875,7892.0
5115.45272,3352.5,7895.4375
5123.274196,3354.125,7897.1875
5131.095672,3352.75,7893.5625
5138.917148,3348.9375,7880.75
5146.738624,3344.0,7857.4375
5154.5601,3335.25,7828.9375
5162.381576,3324.0625,7786.5625
5170.203052,3314.875,7739.5
5178.024528,3300.8125,7687.875
5185.846004,3288.625,7638.6875
5193.66748,3278.25,7591.625
5201.488956,3269.8125,7547.5625
5209.310432,3258.625,7510.4375
5217.131908,3253.8125,7480.875
5224.953384,3247.625,7453.75
5232.77486,3244.4375,7432.875
5240.596336,3239.5,7419.5
5248.417812,3236.8125,7406.3125
5256.239288,3237.375,7399.8125
5264.060764,3235.3125,7396.375
5271.88224,3235.5625,7395.8125
5279.703716,3237.8125,7394.5
5287.525192,3237.5625,7396.25
5295.346668,3238.25,7400.5
5303.168144,3240.6875,7405.4375
5310.98962,3241.75,7409.875
5318.811096,3242.3125,7416.5625
5326.632572,3242.9375,7422.75
5334.454048,3245.625,7428.8125
5342.275524,3247.4375,7435.8125
5350.097,3248.5625,7443.3125
5357.919234,3251.3125,7450.875
5365.741428,3254.75,7459.625
5373.563622,3255.1875,7473.125
5381.385816,3257.9375,7486.125
5389.20801,3262.625,7501.1875
5397.030204,3266.5625,7514.5
5404.852398,3269.125,7528.1875
5412.674592,3274.125,7544.25
5420.496786,3277.625,7556.1875
5428.31898,3279.0,7567.625
5436.141174,3280.0625,7576.0
5443.963368,3281.375,7586.5625
5451.785562,3283.5,7590.1875
5459.607756,3283.6875,7593.0
5467.42995,3282.375,7595.4375
5475.252144,3283.25,7594.75
5483.074338,3281.9375,7593.0625
5490.896532,3282.25,7590.3125
5498.718726,3280.0625,7585.875
5506.54092,3280.625,7585.6875
5514.363114,3281.5,7580.375
5522.185308,3278.3125,7578.25
5530.007502,3277.6875,7579.125
5537.829696,3279.6875,7576.6875
5545.65189,3278.1875,7574.5
5553.474084,3277.875,7577.625
5561.296278,3278.8125,7580.125
5569.118472,3281.125,7582.5625
5576.940666,3280.875,7583.75
5584.76286,3279.875,7587.5
5592.585054,3282.1875,7591.875
5600.407248,3282.625,7595.875
5608.229442,3283.75,7601.75
5616.051636,3285.5625,7606.875
5623.87383,3287.25,7612.375
5631.696024,3288.5625,7617.0
5639.518218,3289.4375,7622.375
5647.340412,3292.4375,7629.5625
5655.162606,3291.5625,7635.375
5662.9848,3292.4375,7641.3125
5670.806994,3294.0625,7648.0625
5678.629188,3295.6875,7651.6875
5686.451382,3297.5,7659.125
5694.273576,3299.5,7665.6875
5702.09577,3299.875,7672.0625
5709.917964,3302.8125,7681.5625
5717.740158,3302.4375,7686.875
5725.562352,3303.5625,7690.9375
5733.384546,3305.6875,7701.5
5741.20674,3306.875,7706.75
5749.028934,3307.5625,7713.125
5756.851128,3311.375,7719.9375
5764.673322,3310.875,7724.6875
5772.495516,3312.625,7731.9375
5780.31771,3312.5,7736.3125
5788.139904,3313.3125,7740.1875
5795.962098,3315.3125,7744.6875
5803.784292,3314.5625,7751.5625
5811.606486,3318.625,7755.875
5819.42868,3317.25,7761.3125
5827.250874,3319.5,7764.25
5835.073068,3320.5,7768.625
5842.895262,3320.4375,7772.5
5850.717456,3321.4375,7776.5
5858.53965,3322.375,7781.6875
5866.361844,3321.8125,7782.4375
5874.184038,3324.6875,7790.0
5882.006232,3325.5,7792.125
5889.828426,3325.9375,7797.6875
5897.65062,3327.6875,7803.0
5905.472814,3328.0625,7805.4375
5913.295008,3330.1875,7813.875
5921.117202,3328.9375,7818.375
5928.939396,3332.125,7821.25
5936.76159,3332.375,7826.375
5944.583784,3333.625,7832.5
5952.405978,3335.3125,7837.0
5960.228172,3335.0625,7841.6875
5968.050366,3334.4375,7835.875
5975.87256,3331.75,7828.25
5983.694754,3326.875,7808.3125
5991.516948,3320.375,7781.25
5999.339142,3310.5625,7737.875
6007.161336,3297.0625,7692.4375
6014.98353,3287.5625,7645.5625
6022.805724,3274.625,7594.25
6030.627918,3263.4375,7547.625
6038.450112,3253.9375,7504.6875
6046.272306,3245.875,7466.375
6054.0945,3238.625,7434.875
6061.916694,3232.25,7408.75
6069.738888,3228.8125,7387.625
6077.561082,3224.875,7370.125
6085.383276,3222.1875,7358.375
6093.20547,3220.5625,7348.6875
6101.027664,3222.0,7343.75
6108.849858,3219.375,7341.25
6116.672052,3219.4375,7339.1875
6124.494246,3220.3125,7341.5625
6132.31644,3222.3125,7344.4375
6140.138634,3222.1875,7346.125
6147.960828,3224.1875,7350.9375
6155.783022,3224.375,7353.8125
6163.605216,3226.75,7357.6875
6171.42741,3227.5,7361.3125
6179.249604,3229.75,7368.875
6187.071798,3230.125,7376.625
6194.893992,3231.375,7379.6875
6202.716186,3233.5625,7387.375
6210.53838,3234.8125,7397.125
6218.360574,3239.5625,7406.9375
6226.182768,3241.0,7417.5625
6234.004962,3243.3125,7428.6875
6241.827156,3248.1875,7444.4375
6249.64935,3249.8125,7459.0625
6257.471544,3252.9375,7473.6875
6265.293738,3259.9375,7486.25
6273.115932,3260.375,7499.4375
6280.938126,3261.25,7509.0625
6288.76032,3265.375,7519.4375
6296.582514,3265.625,7528.875
6304.404708,3267.375,7528.4375
6312.226902,3267.9375,7530.8125
6320.049096,3267.625,7529.9375
6327.87129,3267.0625,7532.125
6335.693484,3266.4375,7527.5
6343.515678,3266.0625,7524.0
6351.337872,3266.25,7521.75
6359.160066,3264.4375,7519.625
6366.98226,3263.1875,7516.5
6374.804454,3262.25,7515.8125
6382.626648,3262.4375,7515.8125
6390.448842,3262.9375,7515.4375
6398.271036,3262.75,7516.75
6406.09323,3263.1875,7519.125
6413.915424,3264.875,7522.1875
6421.737618,3266.75,7527.6875
6429.559812,3264.4375,7530.0625
6437.382006,3268.4375,7535.125
6445.2042,3268.8125,7543.3125
6453.026394,3270.875,7546.4375
6460.848588,3272.4375,7552.5
6468.670782,3274.875,7559.75
6476.492976,3275.5625,7567.0625
6484.31517,3276.125,7571.375
6492.137364,3277.6875,7580.6875
6499.959558,3280.3125,7587.0
6507.781752,3281.3125,7592.3125
6515.603946,3281.1875,7598.5625
6523.42614,3284.0625,7608.0
6531.248334,3285.5,7614.5
6539.070528,3286.0,7619.875
6546.892722,3289.25,7626.0625
6554.714916,3290.1875,7635.3125
6562.53711,3292.375,7642.5
6570.359304,3294.1875,7649.6875
6578.181498,3295.4375,7656.75
